       l       b       nec     Fc     dc     rc   edge type name
0  -175.640  -3.320   0.230   0.00  0.630  0.010    0    P 0540+23         
0  -175.440  -5.780   0.030  70.00  0.640  0.010    0    P 0531+21         
0  -171.210   2.400   1.310   0.00  0.650  0.010    0    P 0611+22         
0  -171.180   6.220   0.410   0.00  0.650  0.010    0    P 0626+24         
0  -163.040  31.742   0.700   0.01  0.190  0.010    0    P 0823+26         
0  -146.300 -12.600   0.330  20.00  0.410  0.010    0    G MonR2           
0  -138.010  21.250   0.140   0.00  0.550  0.010    0    P 0820+02         
0  -129.780 -80.250   0.510   0.00  0.530  0.010    0    P 0134-2937       
0  -124.110  12.600   0.010 100.00  1.000  0.010    0    P 0818-13         
0  -123.050 -16.760   0.530   0.00  0.910  0.010    0    P 0628-28         
0  -118.090  69.190   0.010  20.00  0.170  0.010    0    P 1133+16         
0  -106.610 -41.960   0.055   0.60  0.100  0.010    0    P 0437-4715       
0  -100.000  -1.000   0.430   0.00  0.500  0.145    1    P GumI            
0   -97.200   2.700   0.500   2.00  0.500  0.032    1    P GumII           
0   -96.750  -9.000   4.000   3.00  0.250  0.038    1    P VelaIras        
0   -79.770   0.084   0.400  20.00  2.500  0.010    0    P 1001-5507       
0   -76.290  -2.140   0.310 100.00  4.390  0.010    0    P 1011-58         
0   -76.200  -0.680  40.000   5.00  4.215  0.010    0    P J1019-5749      
0   -75.700  -0.830  20.000  20.00  4.215  0.010    0    P J1022-5813      
0   -74.020   6.650   0.850   0.00  0.520  0.010    0    P 1057-5226       
0   -73.120  -2.880   1.000   1.00  3.000  0.020    0    P J1031-6117      
0   -69.708  -2.966   5.000   0.15  2.200  0.020    0    P J1056-6258      
0   -69.690 -35.910   0.390   0.00  0.470  0.010    0    P 0401-7608       
0   -68.560  -0.320   0.560 100.00  6.130  0.010    0    P 1112-60         
0   -67.850  -0.540   1.000   1.00  2.300  0.020    0    P J1119-6127      
0   -66.510  -0.970   1.000  20.00  2.300  0.020    0    P J1128-6219      
0   -65.790  -1.300   0.610 100.00  6.510  0.010    0    P 1131-62         
0   -62.910   6.470   0.030 100.00  2.460  0.010    0    P 1209-5556       
0   -62.690  -0.790   2.200   1.00  2.000  0.020    0    P J1201-6306      
0   -61.080   0.200   3.000   1.00  2.100  0.020    0    P J1216-6223      
0   -55.540  -3.460   0.410 100.00  6.580  0.010    0    P 1303-66         
0   -55.500  -0.120  20.000  20.00  8.000  0.010    0    P J1305-6256      
0   -53.690   1.740   0.260 100.00  2.030  0.010    0    P 1316-60         
0   -53.100   0.850  20.000  20.00  8.000  0.010    0    P J1324-6146      
0   -52.930   0.200   0.260 100.00  1.990  0.010    0    P 1323-62         
0   -52.500   3.560   0.360 100.00  1.980  0.010    0    P 1323-58         
0   -51.630   0.300   0.760 100.00  6.500  0.010    0    P 1334-61         
