       l       b       nec     Fc     dc     rc   edge type name
0  -175.640  -3.320   0.230   0.00  0.630  0.010    0    P 0540+23         
0  -175.440  -5.780   0.030  70.00  0.640  0.010    0    P 0531+21         
0  -163.040  31.742   0.700   0.01  0.190  0.010    0    P 0823+26         
0  -138.010  21.250   0.140   0.00  0.550  0.010    0    P 0820+02         
0  -129.780 -80.250   0.510   0.00  0.530  0.010    0    P 0134-2937       
0  -124.110  12.600   0.010 100.00  1.000  0.010    0    P 0818-13         
0  -118.090  69.190   0.010  20.00  0.170  0.010    0    P 1133+16         
0  -106.610 -41.960   0.055   0.60  0.100  0.010    0    P 0437-4715              
0   -79.770   0.084   0.400  20.00  2.500  0.010    0    P 1001-5507       
0   -76.290  -2.140   0.310 100.00  4.390  0.010    0    P 1011-58         
0   -76.200  -0.680  40.000   5.00  4.215  0.010    0    P J1019-5749      
0   -75.700  -0.830  20.000  20.00  4.215  0.010    0    P J1022-5813      
0   -74.020   6.650   0.850   0.00  0.520  0.010    0    P 1057-5226       
0   -73.120  -2.880   1.000   1.00  3.000  0.020    0    P J1031-6117      
0   -69.708  -2.966   5.000   0.15  2.200  0.020    0    P J1056-6258      
0   -69.690 -35.910   0.390   0.00  0.470  0.010    0    P 0401-7608       
0   -68.560  -0.320   0.560 100.00  6.130  0.010    0    P 1112-60         
0   -67.850  -0.540   1.000   1.00  2.300  0.020    0    P J1119-6127      
0   -66.510  -0.970   1.000  20.00  2.300  0.020    0    P J1128-6219      
0   -65.790  -1.300   0.610 100.00  6.510  0.010    0    P 1131-62         
0   -62.910   6.470   0.030 100.00  2.460  0.010    0    P 1209-5556       
0   -62.690  -0.790   2.200   1.00  2.000  0.020    0    P J1201-6306      
0   -55.500  -0.120  20.000  20.00  8.000  0.010    0    P J1305-6256      
0   -53.690   1.740   0.260 100.00  2.030  0.010    0    P 1316-60         
0   -53.100   0.850  20.000  20.00  8.000  0.010    0    P J1324-6146      
0   -52.930   0.200   0.260 100.00  1.990  0.010    0    P 1323-62         
0   -52.500   3.560   0.360 100.00  1.980  0.010    0    P 1323-58         
0   -51.630   0.300   0.760 100.00  6.500  0.010    0    P 1334-61         
0   -51.270  -0.040   0.710 100.00  7.210  0.010    0    P 1338-62         
0   -48.700  75.410   0.200   0.00  0.290  0.010    0    P 1257+12         
0   -47.350  -5.400   1.870   0.00  0.900  0.010    0    P 1430-6623       
0   -39.230  -0.110   5.000   0.00  3.000  0.010    0    P 1508-57         
0   -39.070  20.450   1.470   0.00  0.300  0.010    0    P 1419-3920       
0   -38.130 -35.000   0.410   0.00  0.340  0.010    0    P 2053-7200       
0   -32.730   1.320   0.600   0.00  1.500  0.010    0    P 1544-5308       
0   -30.270  -0.480   0.900   0.00  1.200  0.010    0    P 1605-5257       
0   -29.310   1.630   0.310 100.00  3.620  0.010    0    P 1557-50         
