        l       b      dv     nev     Fv    aav    bbv    ccv    thvy   thvz edge name
0   -81.500  -0.600   0.50   0.500   1.00   0.02   0.02   0.04   0.00   9.00 1    GumIedge        
0   -60.016  -1.415   1.90   0.002   0.10   0.50   0.05   0.10   0.00  30.00 1    J1224-6407      
0   -44.267  -4.427   1.50   0.005   0.10   0.25   0.10   0.10   0.00  46.00 1    J1453-6413      
0   -29.310  1.631    1.50   0.001   0.10   1.00   0.10   0.10   0.00  61.00 1    J1600-5044a      
0   -29.310  1.631    3.60   0.001   0.10   0.50   0.20   0.20   0.00  61.00 1    J1600-5044b      
0   -25.460  6.367    1.30   0.020   0.00   0.90   0.07   0.07  -6.37  64.54 1    J1559-4438      
0   5.310    0.017    3.00   0.035   10.00  1.20   0.03   0.10   0.00  95.31 1    1757-24        
0   7.470    0.809    2.00   0.055   1.30   1.20   0.02   0.10   0.00  97.47 1    1759-2205       
0   19.850   48.340   0.35   0.004   0.00   0.20   0.20   0.30 -41.66 -70.15 1    1534+12         
0   31.000   0.000    4.20   0.010   0.10   0.80   0.45   0.20   0.00 -25.00 1    Interarm2-3     
0   37.210   -0.637   6.00   0.100   1.00   0.90   0.02   0.04   0.00 127.21 1    1859+03         
0   45.000   0.000    2.00   0.024   0.10   0.80   0.30   0.20   0.00 -25.00 1    Interarm3-4     
0   48.260   0.624    3.00   0.024   20.00  0.20   0.20   0.20   0.00 -41.74 1    1915+13         
0   114.284  0.234    2.50   0.005   0.10   0.50   0.10   0.10   0.00  24.00 1    2334+61               
#### NEW/REVISED VOIDS IN NE2025 ####
0   -108.30  40.515   0.50   0.001   0.00   0.23   0.01   0.01  138.92 13.51 1    J1024-0719
0   -54.100  -44.89   1.00   0.002   0.00   0.50   0.05   0.05  49.91 -155.5 1    47_Tuc                
0   -22.98   13.27    1.20   0.001   0.00   0.20   0.30   0.10   0.00  0.00  1    NGC5986-I        
0   -22.98   13.27    4.00   0.001   0.00   0.30   0.60   0.20   0.00  0.00  1    NGC5986-II        
0   -16.901  -2.683   1.00   0.090   0.10   0.40   0.10   0.10   0.00  73.00 1    J1709-4428     
0   -7.33    19.45    2.00   0.001   0.00   0.20   0.50   0.20   0.00  0.00  1    M80-I        
0   -7.33    19.45    4.00   0.001   0.00   0.20   1.00   0.20   0.00  0.00  1    M80-II        
0   -0.269   -19.596  0.70   0.002   5.00   0.05   0.20   0.10   0.00  0.00  1    J1909-3744        
0   -0.056   -0.046   8.50   10.000  00.00  0.013  0.145  0.013  0.00  00.00 0    1745-2900    
0   0.000    -10.00   8.60   0.001   00.00  4.0    4.0    1.0    0.00  00.00 1    Fermi-South
0   0.000    10.00    8.60   0.001   00.00  4.0    4.0    1.0    0.00  00.00 1    Fermi-North      
0   2.212    -10.517  1.50   0.005   0.00   0.30   0.80   0.30   0.00  0.00  1    Car-SgrI
0   4.900    9.72     1.40   0.001   0.00   0.10   0.60   0.20   0.00  0.00  1    NGC6342a        
0   4.900    9.72     3.50   0.001   0.00   0.10   0.60   0.20   0.00  0.00  1    NGC6342b        
0   23.109   0.257    1.50   0.001   0.00   0.20   0.40   0.05   0.00  0.00  1    J1832-0836
0   46.564   1.795    3.00   0.001   0.00   0.80   0.70   0.20   0.00  0.00  1    J1910+1256
0   79.133   -5.589   4.50   0.001   0.00   1.50   0.30   0.20   0.00  0.00  1    J2055+3630
0   129.150  2.530    2.15   0.010   0.00   0.50   0.70   0.50   0.00  0.00  1    PerseusI        
0   144.995  -1.221   1.40   0.001   0.00   0.20   0.40   0.10   0.00  0.00  1    J0332+5434             
0   149.099  -0.522   2.00   0.030   0.00   0.15   0.25   0.05   0.00  0.00  1    J0357+5236        
0   163.909  18.643   0.80   0.002   60.0   0.34   0.01   0.01  49.91 -114.4 1    J0636+5128        
0   168.275  -1.187   2.00   0.001   0.00   0.20   0.70   0.10   0.00  0.00  1    J0509+3801                      
0   188.800  4.100    2.10   0.001   0.00   0.20   0.31   0.30   0.00  0.00  1    PerseusII  
