        l       b      dv     nev     Fv    aav    bbv    ccv    thvy   thvz edge name
0   -81.500  -0.600   0.50   0.500   1.00   0.02   0.02   0.04   0.00   9.00 1    GumIedge        
0   -60.016  -1.415   1.90   0.002   0.10   0.50   0.05   0.10   0.00  30.00 1    J1224-6407      
0   -44.267  -4.427   1.50   0.005   0.10   0.25   0.10   0.10   0.00  46.00 1    J1453-6413      
0   -29.310   1.631   1.50   0.001   0.10   1.00   0.10   0.10   0.00  61.00 1    J1600-5044      
0   -29.310   1.631   3.60   0.001   0.10   0.50   0.20   0.20   0.00  61.00 1    J1600-5044      
0   -25.460   6.367   1.30   0.020   0.00   0.90   0.07   0.07  -6.37  64.54 1    J1559-4438      
0   -16.901  -2.683   1.50   0.010   0.10   0.40   0.10   0.10   0.00  73.00 1    J1709-4428      
0     5.310   0.017   3.00   0.035  10.00   1.20   0.03   0.10   0.00  95.31 1    1757-24         
0     7.470   0.809   2.00   0.055   1.30   1.20   0.02   0.10   0.00  97.47 1    1759-2205       
0     7.797  -5.578   1.50   0.005   0.10   0.40   0.20   0.20   0.00   0.00 1    1821-24         
0    19.850  48.340   0.35   0.004   0.00   0.20   0.20   0.30 -41.66 -70.15 1    1534+12         
0    31.000   0.000   4.20   0.010   0.10   0.80   0.45   0.20   0.00 -25.00 1    Interarm2-3     
0    37.210  -0.637   6.00   0.100   1.00   0.90   0.02   0.04   0.00 127.21 1    1859+03         
0    45.000   0.000   2.00   0.024   0.10   0.80   0.30   0.20   0.00 -25.00 1    Interarm3-4     
0    48.260   0.624   3.00   0.024  20.00   0.20   0.20   0.20   0.00 -41.74 1    1915+13         
0   114.284   0.234   2.50   0.005   0.10   0.50   0.10   0.10   0.00  24.00 1    2334+61         
0   129.150  -2.105   1.50   0.017   0.10   0.70   0.10   0.10   0.00  39.00 1    0138+59         
